n_layers,n_nodes,activation,epochs,grid_size,learning_rate
3,34,swish,55250,124,0.00047483915893356483
7,71,tanh,80451,75,0.004095312938181604
7,56,swish,57562,32,0.0005790332914041912
6,84,tanh,5992,186,0.027005532068264792
8,85,sin,55711,95,0.011779117401959001
2,16,tanh,79831,18,5.031093256254296e-05
5,57,sigmoid,61677,35,0.00010835838256678043
7,98,relu,26445,81,8.907946337820086e-05
8,66,swish,98948,47,0.0008756662162346431
3,14,swish,15169,116,0.00431554129244139
5,48,sin,48938,188,0.0045816734382059035
6,77,swish,36154,182,0.02910725864568294
6,74,swish,40846,165,2.4422485772325618e-05
2,40,relu,71693,42,0.005816219104849181
7,73,sin,93736,116,0.00013285120037639678
6,57,relu,82990,80,1.5634617514704315e-05
3,77,sin,88353,92,0.0046035959164681724
10,76,tanh,69548,72,0.0008214797130827413
4,60,relu,98246,194,1.456972663264383e-05
5,86,relu,50142,76,0.0024157781493969353
2,60,sigmoid,90863,149,4.859674569250301e-05
7,40,sin,37103,190,0.001607772040638243
3,30,sin,88842,59,1.0275531645180668e-05
6,18,relu,93092,67,0.0010401639328928573
3,42,tanh,26234,70,0.02024272450167712
10,67,swish,87142,158,0.005963458516452301
2,64,sigmoid,44420,120,0.006323366319027674
10,75,sin,83321,192,0.002972965052167654
5,98,swish,97125,21,0.0002882830633668341
7,85,sin,95140,70,0.006215739093042742
3,38,tanh,92142,183,0.020492426990537816
6,58,sigmoid,92170,155,0.005841386575812924
2,92,swish,55052,28,0.02763943431433259
2,46,sin,90629,178,0.04325443057255312
3,57,sigmoid,63277,136,0.00034338244798343354
9,49,swish,93665,75,4.490674664195928e-05
7,87,sin,47786,114,0.008144648048106905
7,43,tanh,43316,53,0.00050495743197796
9,42,swish,37409,13,0.00016466117210936734
6,33,sigmoid,21364,143,0.00041498533015183836
6,94,sigmoid,92871,19,5.6766766073784004e-05
10,98,relu,6939,91,0.0012890903580547604
6,89,tanh,72989,130,0.0009223134507952948
4,99,sigmoid,7526,21,0.022010725952523937
7,27,sigmoid,91799,25,0.0001750323443615565
4,87,sigmoid,77574,143,0.00013892133661460058
4,60,sigmoid,54341,74,0.003832765278711045
8,27,relu,17826,114,0.0009425511413502656
5,43,tanh,39997,150,0.08179542085540809
5,67,tanh,41143,62,0.00018606333274282143
3,97,swish,83753,47,4.068509479441373e-05
3,88,swish,87374,164,0.004726283827071934
9,24,sin,82803,132,0.0018645792272851361
8,45,tanh,44769,150,0.05136580702301524
7,39,swish,37453,22,1.6532282832946588e-05
10,43,sigmoid,34776,139,0.0012583261575445622
4,73,tanh,53083,92,0.00021870957717710026
9,38,sigmoid,94078,33,0.0003345920022171483
6,88,swish,56729,89,0.0026995202152994085
3,18,tanh,63822,165,0.0027880249987375255
3,5,swish,10607,109,0.016966942717184106
5,74,tanh,48352,135,0.003549916656813038
8,29,tanh,97646,39,1.7749238140374566e-05
6,46,sigmoid,58130,163,0.002189827547256441
7,34,swish,26862,35,0.0008953375182418438
10,18,sin,61593,150,0.00011289966842112289
9,34,sigmoid,20383,97,2.3209070555289964e-05
7,96,relu,70489,64,0.011303889424188591
8,72,relu,88768,24,0.0014018252707188642
8,39,relu,91876,31,0.023573754931786223
4,64,relu,75673,173,6.874173810743468e-05
3,55,sigmoid,45501,193,1.0221323289319893e-05
3,17,relu,65027,104,0.00017565025654612976
6,91,tanh,67034,89,0.000499339819472925
6,61,swish,26666,141,0.0024759607576840107
2,26,sin,74328,44,1.70991301975733e-05
9,66,sigmoid,79164,134,0.0007143783059752511
5,73,swish,97718,179,0.03635947351159827
5,89,swish,62392,11,0.00033162347424180925
10,37,sin,10081,106,0.002262029728816014
7,38,sin,9834,136,3.494722934898947e-05
3,42,tanh,29395,94,0.002753241167743011
7,45,tanh,74003,82,4.284883442473674e-05
4,87,tanh,62177,177,0.0005641838073356344
3,90,relu,56114,32,0.00024585109089040393
3,78,relu,6835,200,0.024767113495105988
6,95,swish,13957,112,1.906102151585144e-05
4,7,sin,48516,198,0.0002669223255791345
3,52,tanh,55936,34,0.0002052723806855471
10,84,swish,27190,128,0.0006335194306642112
9,83,swish,54418,80,0.0008018211711030218
9,13,swish,95311,153,0.011389914023215071
6,10,swish,39614,172,4.016987413489314e-05
9,72,sin,78876,169,0.03383023039004191
6,8,sigmoid,80090,36,4.288165669108636e-05
9,60,sigmoid,73661,187,1.3931863071206487e-05
9,16,sigmoid,13434,56,0.004792587037214281
5,76,sigmoid,54139,188,0.009338255525025116
4,17,tanh,61050,77,1.4400252289321657e-05
4,40,swish,12628,103,0.0061637745981389025
3,58,tanh,91156,140,0.02416504818304671
7,27,sigmoid,32889,148,0.0003874031971310105
3,41,sin,48293,137,0.05324256920657803
7,41,sin,94648,199,0.03689806046506068
8,86,sigmoid,10481,23,0.08848927262622018
7,57,swish,66203,77,3.3607292639544235e-05
4,79,relu,24020,121,0.0006564452813368312
9,11,relu,48058,102,0.002095276824108762
4,28,sin,11400,156,0.05533122162523671
6,19,relu,27700,163,0.05155423291689533
6,28,tanh,16279,172,0.005879984324614141
6,14,tanh,52159,88,0.005748371953098315
2,10,tanh,66069,82,2.1999134200607953e-05
5,80,sigmoid,17069,96,0.0026208200627459407
9,84,relu,34030,187,0.0001421425725427327
3,84,tanh,62804,118,2.8635625237092947e-05
8,14,tanh,9509,48,0.0025570269571298294
9,73,sin,38407,95,0.0022093814567337067
2,99,relu,63955,81,4.128994131665344e-05
7,42,relu,89062,38,2.4753900905011828e-05
6,44,sigmoid,15709,12,5.876593583380218e-05
9,30,sigmoid,90457,127,0.08700885533889337
3,5,sigmoid,18042,156,0.0006047019748391599
8,98,relu,78095,110,0.05788310414676594
5,88,swish,72742,79,0.00011994300777250852
7,13,swish,26146,174,0.0013247032914133795
9,91,sin,83057,90,0.008346147116252322
9,24,sin,85107,158,0.00014829714288436597
5,82,tanh,16688,146,8.386726080979106e-05
4,32,swish,8468,97,0.00016062144116154575
9,61,sigmoid,96073,197,1.4636752631439034e-05
9,17,relu,80852,100,1.81739042057484e-05
4,21,relu,79355,12,0.004035453942634353
2,13,sigmoid,47611,28,0.00016811020749066293
5,78,relu,18921,140,0.013354453487759438
9,36,relu,35766,122,0.02528888509974656
4,30,sin,49247,120,0.0007893530910686688
7,27,relu,16654,29,1.4366385637361523e-05
9,25,swish,71945,126,2.391470511504317e-05
10,71,relu,50973,185,1.1481465789286704e-05
8,79,sin,76468,159,0.07603297318046663
4,52,swish,12316,119,0.00048541275311026106
6,22,tanh,95430,152,0.002349488063816098
5,95,swish,84004,65,0.00015233668212150494
6,71,sin,19937,168,0.007279435551402867
8,69,sigmoid,63794,30,7.429230096404466e-05
6,10,tanh,34188,191,0.009635970781504428
9,90,tanh,35943,51,0.00020355694298001796
4,80,tanh,17651,148,3.884946922710724e-05
6,96,tanh,91486,23,0.0616368430141776
10,84,swish,84829,129,0.06340591218480736
5,96,relu,64529,161,1.2501146891190932e-05
2,38,sigmoid,9215,81,0.01988422226233303
3,37,relu,90222,172,0.0032371822970758196
7,91,swish,95207,73,0.0012722328676164464
6,36,sigmoid,12849,52,0.04643658287633018
4,82,tanh,73507,22,0.0005919381199880384
5,93,swish,18194,184,0.00010093500025702458
8,25,sin,77463,161,0.013754855894023832
5,12,relu,11211,47,0.021142410630581674
7,15,tanh,89953,61,0.007622529446664299
9,34,sigmoid,13154,43,0.002376460872501384
8,35,sin,17551,167,0.0013358250949709013
10,55,sigmoid,14036,175,0.0069077959227891806
7,69,swish,89335,76,0.0005470780747569969
3,31,relu,13217,179,0.009478344672050491
7,93,sigmoid,84124,72,1.6712317461335962e-05
4,61,sigmoid,24075,127,0.007462709791031947
5,36,sin,31998,147,0.0004925070143532071
5,57,sin,20485,187,2.577619294520109e-05
8,67,tanh,68115,36,0.0038746388482092707
3,70,sin,79906,57,0.016509576203676588
5,62,swish,54220,113,0.0020068213316251854
7,71,sin,95512,168,0.00015189076244573826
6,86,relu,8402,171,0.00016651600669709366
5,16,relu,72872,155,3.832431747040505e-05
8,48,tanh,75443,131,0.040234705132696044
2,44,swish,18285,52,1.1562431560124444e-05
7,37,swish,89105,26,0.00507671566493512
4,59,sin,27467,131,0.0005665448367842619
9,10,relu,60941,116,0.016006802974217225
9,85,relu,13896,70,5.04101079787328e-05
4,9,tanh,71219,117,0.002082689384863815
4,16,tanh,5266,186,0.006940017756169864
7,15,relu,60746,49,8.208666192929825e-05
4,57,sin,92461,13,0.04265905122678061
6,68,tanh,18797,22,0.000705424847742706
7,51,sin,25224,146,0.018272567038598718
4,36,sigmoid,80224,102,0.0371383842256136
5,33,swish,66465,22,0.0005219432495777972
9,68,sin,89154,19,0.0002050418962200409
8,58,swish,28332,181,4.424099890186599e-05
9,90,sigmoid,98154,189,2.5394987051099317e-05
8,79,sin,32445,41,6.0961686357260714e-05
7,72,relu,58261,174,0.00012708206258837753
5,37,swish,86441,42,0.0920396034091819
2,79,tanh,44692,175,7.035292712797119e-05
3,50,relu,31428,124,0.0004880551273378772
9,36,relu,40094,149,0.0016336695849220467
6,74,relu,49300,154,0.017530368621888354
7,55,tanh,27508,145,0.0030304275298315224
10,68,sin,38247,141,0.0005018460490958277
10,54,relu,5609,42,0.0007018671846924957
3,48,sin,33380,79,0.015435325629885343
4,80,sin,41217,36,0.0017539892009766041
3,48,sin,85484,186,0.019569135634733836
3,93,sigmoid,55908,74,0.0003468813203308602
10,67,swish,36492,79,0.00201643089465404
3,18,tanh,40762,83,0.0003218895194502682
2,25,relu,5942,195,5.6623407469342816e-05
6,62,swish,52000,144,0.0017718169161105891
5,91,relu,73425,126,0.019953670052429467
8,32,tanh,74423,200,0.02197252344818626
5,70,tanh,34859,96,0.028257079879315493
8,43,relu,5849,97,6.240638080521078e-05
8,81,tanh,20845,129,0.06891450913079493
4,73,tanh,57104,25,0.00026113789457649154
8,66,sigmoid,45760,133,8.928153970872442e-05
5,41,sigmoid,70837,117,0.0007968239794901804
5,33,tanh,35101,130,0.023355071508734605
4,39,swish,99393,16,7.07318218064794e-05
3,38,sigmoid,5321,80,0.00793392052218864
8,29,swish,26986,81,0.0023180438203173324
3,91,swish,80268,117,0.0019933159587300782
9,26,sin,66262,39,7.456914485349775e-05
7,73,swish,82406,156,0.014018674009525263
3,91,swish,17414,66,0.00313419325647631
4,40,sigmoid,99892,19,5.3903025181098006e-05
3,77,swish,46145,68,0.00025419062755988145
8,48,sigmoid,19979,84,0.0008803236943119443
4,47,sin,78001,142,0.012397845075939787
2,78,sigmoid,65221,15,0.0032305762472181676
4,69,sigmoid,93247,120,0.005652056670897445
8,89,swish,74637,70,4.9661811603768164e-05
8,52,sigmoid,96997,93,0.02155844136795203
6,14,tanh,14076,104,7.713230728143191e-05
9,63,swish,60614,171,0.017323304680115895
9,39,swish,98296,19,0.0052620694649950905
8,13,sin,19562,82,0.00012852975930205073
5,35,tanh,59796,107,0.030050300703588557
9,88,swish,91931,21,0.02143967337516146
5,55,sin,80429,150,0.00019175966405605692
8,99,relu,53327,122,0.001706477971907317
10,96,tanh,90156,24,0.014937065509399957
8,8,tanh,75074,34,0.0035037548912572733
2,82,relu,77328,63,0.0005265763367596852
5,82,swish,83198,169,1.1244914616212435e-05
5,46,swish,69908,88,0.0001139217511666186
8,21,relu,35423,75,0.0026129549604439755
10,90,relu,88136,16,1.8652436349702573e-05
4,18,sin,91024,125,0.0056775664098932775
7,10,sigmoid,99620,197,0.00018643502030727294
5,71,sin,38827,100,0.04629959111098471
9,71,relu,35388,171,0.03179099695398146
7,12,relu,65289,60,0.012749915937052811
8,75,relu,88574,187,0.0002661613722199491
7,37,tanh,32099,109,0.0012375315608140606
6,70,relu,39043,63,0.0016508430991979345
7,58,sigmoid,95822,21,0.0004978287223067017
5,71,swish,61557,87,0.00010935890028899585
8,16,sigmoid,19004,122,0.001091391640455772
8,99,relu,74143,38,4.2251095313314464e-05
9,27,relu,76787,167,0.002881579174902352
7,65,relu,36103,21,0.00017912704163672655
10,83,tanh,35891,126,0.04980924762981489
6,46,sigmoid,64244,43,0.0001185889088357788
3,9,sin,39738,71,0.010122667936433807
4,28,sin,45551,114,0.09504438491512049
10,67,tanh,49445,167,9.003931182316284e-05
8,30,tanh,7789,37,0.010618037249471938
5,22,sigmoid,39863,15,0.038856563668370044
4,31,swish,10710,163,0.0013084511674348494
3,32,sin,28266,11,0.012527006525345465
9,9,swish,67467,127,3.2577456892918996e-05
7,28,sin,9177,105,0.0007146955261497425
6,42,sigmoid,43807,63,5.629409980858259e-05
8,16,tanh,39956,115,0.004453460796393125
5,51,tanh,47722,126,0.00011187362571184642
5,60,relu,72107,190,1.957781809500103e-05
6,6,relu,68971,36,0.00015436712852388656
4,32,sigmoid,72822,172,3.2038798825855196e-05
8,69,relu,57000,17,0.006625612475834088
10,77,swish,89460,62,4.8876439814435594e-05
8,62,sin,44588,181,3.7695168616137414e-05
6,10,sin,66627,91,6.612012951921e-05
5,44,sin,84328,28,0.00011617141059018977
8,45,relu,90416,59,0.029053635339196606
9,49,swish,35813,162,0.0002578198086235345
6,59,sigmoid,85426,148,0.05226194695926127
7,21,tanh,65099,98,2.2419081520106027e-05
3,59,tanh,67850,73,0.00030773396019943914
7,26,tanh,43914,24,0.05817478127679485
5,5,swish,10455,138,0.0015165061960545978
4,10,swish,11633,76,0.006453859045466967
6,8,swish,48217,176,0.06036430620323879
2,67,tanh,23026,101,0.032223158429738066
9,62,tanh,32692,21,0.0001220836659718437
5,56,sin,42680,42,1.1654267838854767e-05
3,45,relu,9765,48,0.0021338442787066972
5,85,sin,11959,79,0.00017144906190146115
4,44,sigmoid,38088,111,1.0863613506177686e-05
9,76,relu,88096,33,0.00036688259074746854
3,52,tanh,87184,29,0.0025435033346951925
3,39,sin,35993,11,0.009160659525249663
8,31,swish,74741,92,0.0015998278902945298
10,31,swish,75898,105,0.0003994424036707287
3,97,tanh,8276,85,0.0025961871499325362
8,20,relu,64225,148,0.004829291880953084
10,83,tanh,13294,171,2.7673152833464076e-05
6,26,relu,46376,133,0.06317070103916467
4,40,tanh,41596,95,0.0001234092774427614
5,16,sigmoid,75830,194,0.04468831248947667
7,42,sigmoid,25064,189,7.727695632997013e-05
5,68,tanh,30163,191,0.00013062244022420295
5,17,swish,34138,15,3.11700694034297e-05
2,7,sigmoid,55561,113,0.0029583853088042456
5,87,relu,71027,145,0.0002564651320043778
4,98,tanh,25001,157,1.8082515763196058e-05
5,82,swish,7707,31,6.470255798366892e-05
4,93,sigmoid,72431,116,5.36649598095332e-05
6,75,relu,5535,148,0.004426455980646081
5,42,sigmoid,86083,41,2.5635742728030142e-05
4,87,tanh,31852,159,8.194421680888908e-05
8,32,swish,93448,97,0.012079532528206682
6,83,relu,18429,25,2.9766722189138613e-05
8,78,sin,42838,37,2.8048588186113482e-05
7,63,relu,31826,176,0.007130245923324781
2,77,swish,94353,45,3.7592480116472805e-05
4,53,swish,86397,195,0.08877913761533633
6,94,tanh,81353,167,0.0009109322457361509
6,72,tanh,27745,31,0.025078012306797813
8,79,sin,44263,67,0.00027305767746312444
7,62,sigmoid,22998,84,3.818876137501906e-05
7,95,swish,16891,162,0.001572998700747086
4,81,relu,32460,133,0.0899209603251401
4,99,sigmoid,61219,13,0.01393608907918833
4,46,sigmoid,93401,140,0.036799922131884946
9,65,tanh,76332,199,2.2145575702959455e-05
5,72,sin,99028,49,0.04101628761342749
9,26,tanh,86590,49,7.841847944035294e-05
9,77,relu,32963,133,0.03900963791380272
5,85,sin,66863,26,0.03605159379231773
6,60,tanh,98800,144,1.1204818479480087e-05
7,6,relu,54951,189,0.004619752357949907
9,48,swish,96160,173,5.289517655596889e-05
3,17,tanh,13989,147,6.936774319739713e-05
10,66,sigmoid,23651,49,2.3473415588408776e-05
9,67,tanh,60145,51,0.000129236688485272
2,19,tanh,26620,93,0.008113771995886126
10,13,swish,6238,29,0.0020460700803119907
4,73,sin,67719,73,0.01242596926396645
8,64,swish,11101,66,0.007169597561820315
5,20,sigmoid,63177,65,0.00016352889588819444
4,93,sin,26910,188,0.0196306968598525
9,22,sin,86503,38,0.006401473409685217
7,90,sin,40600,72,4.025685528255844e-05
4,43,sin,72328,165,0.057485468749007666
8,92,relu,92583,150,0.00025105825709255327
3,17,sigmoid,67323,149,0.003151008582556652
8,67,swish,33881,191,0.0913406526664409
4,7,sin,97098,146,0.00023900906163681681
8,65,sigmoid,38489,101,1.080844998016822e-05
4,33,swish,52578,159,0.000681179432354845
10,44,swish,57798,134,0.047084162172348426
2,52,tanh,49895,137,2.006790283794478e-05
7,23,swish,98489,105,0.008073297373498989
2,50,relu,63220,124,2.4188333818216226e-05
3,85,relu,57705,196,0.04185550239734398
9,71,swish,71340,89,0.01795029407348243
7,37,swish,22278,20,0.00010770329333210579
4,41,tanh,56800,124,0.0020777139904980075
2,25,tanh,49043,156,0.00018091627075273435
5,97,tanh,19914,147,0.00042243961256954656
5,85,swish,41508,156,6.725038264814316e-05
7,77,swish,75172,122,0.00063540948038119
10,60,relu,96357,76,2.341657861937523e-05
8,15,sin,52285,109,0.0015842790359159406
2,25,sigmoid,43721,85,4.70035003926812e-05
3,54,swish,27132,27,5.175153332797464e-05
3,64,tanh,59535,141,0.0008059453978294729
9,54,sin,87501,159,0.036249506017673815
8,81,relu,95107,114,0.0002142626845090836
4,88,tanh,79556,185,2.8094868322065925e-05
7,33,tanh,13469,30,0.005232573955100129
8,50,sin,5519,74,1.561259024896645e-05
10,23,tanh,61763,59,0.016401185799348694
3,68,relu,11828,136,8.471098236494664e-05
2,71,sigmoid,77124,31,8.595463387387278e-05
3,71,sigmoid,34272,163,0.0029160485326205736
6,16,tanh,15905,193,0.03130046560362184
5,20,sin,63422,132,0.0002961034037466114
5,39,sigmoid,21857,45,0.005540676597276904
7,64,sigmoid,89303,100,6.205636849342153e-05
4,78,tanh,67144,128,0.000491800642110987
8,14,swish,89698,197,0.0028104449371393666
6,6,relu,55000,180,2.332747319137995e-05
3,27,tanh,41347,76,1.7036532806179067e-05
6,74,tanh,9999,117,0.0015501240057110882
9,34,tanh,34498,56,0.007888226639861363
7,6,swish,97791,42,2.6309026081183096e-05
10,75,sin,6305,53,0.0007511248643055145
9,76,tanh,21813,193,0.02108516710564662
6,87,sigmoid,9942,163,0.0006125249195140322
8,10,tanh,97576,158,0.018167929195683923
2,18,sin,82179,121,0.00013452958672066826
6,23,relu,92345,102,0.005111135479006603
10,31,sigmoid,59135,194,0.049491565128475
3,42,sin,18592,129,0.0015867554675339955
8,21,tanh,16750,119,0.0014891043191724365
3,65,relu,14882,56,0.06430491237870595
2,20,swish,87432,47,0.016329044726397932
2,70,sin,63650,85,5.21068368925305e-05
7,42,swish,6652,120,0.0029432503079564023
9,44,sigmoid,72202,97,0.08226701867265077
4,27,sigmoid,35015,127,0.007792852332069514
9,72,sigmoid,32311,19,3.9671767123429226e-05
7,67,relu,68076,40,1.0378513850662998e-05
8,36,tanh,51576,124,0.012208278559377013
4,33,tanh,28560,147,0.031179571181888775
6,10,sigmoid,17356,125,0.01806382167420608
9,77,sin,18636,158,5.858252937879633e-05
6,79,relu,97182,104,3.681346309006428e-05
5,77,swish,20212,77,0.0016559232859599475
4,49,relu,11224,146,0.022987358403081734
9,15,sin,77631,90,0.0001690964758194819
2,9,swish,70141,110,2.2363570536299194e-05
7,89,sigmoid,23706,85,0.006672166968665679
7,98,sigmoid,24287,69,0.05019632415836794
9,47,relu,37932,91,2.7409761315012264e-05
10,82,sin,9262,142,0.008746991990485209
4,76,sigmoid,39396,115,0.00014746910038698535
10,89,sigmoid,80911,180,0.0042527951956928805
5,68,swish,58004,62,0.060815933619328695
4,17,tanh,7334,176,0.0006437420744873281
3,24,tanh,70244,111,4.9427300674467684e-05
5,72,tanh,16982,20,0.0005742259017859902
2,32,relu,46834,44,0.00048508912820209284
4,78,sin,7100,197,0.03367703490568231
3,25,tanh,21742,181,0.0036871161661770372
2,73,swish,63081,160,0.009014045268907865
4,20,swish,81155,184,1.321905925707671e-05
3,63,swish,77344,189,0.06872665437307841
8,55,relu,98759,67,0.0001244185415783581
9,86,sin,68495,78,0.0003634640547519704
4,90,swish,34392,37,0.09530170685833435
6,33,swish,63549,136,0.0005827710772092556
3,68,sigmoid,29040,117,0.004989162493458498
5,79,sigmoid,18008,131,0.06572345756695556
6,43,swish,23469,65,0.0001469035104184345
6,32,sigmoid,15759,113,0.0009833990287706235
8,81,sin,41277,53,0.09359898775596252
6,97,swish,11874,14,0.00011721747115055309
6,47,tanh,41675,139,3.2766264761350184e-05
10,35,tanh,78490,84,0.0004002043866591164
6,16,relu,71546,132,3.090160204113573e-05
3,35,sin,78037,138,0.008040201150030825
9,65,tanh,98005,134,0.014512051290879594
9,9,swish,63587,79,0.0004785524206393166
3,12,tanh,80782,158,0.02955165680461349
6,56,swish,36347,141,0.0003735611910870765
9,52,sin,12556,31,2.0426431406221517e-05
8,8,tanh,77093,123,0.06706981878474053
4,51,relu,71645,151,0.02041066202072444
9,5,sigmoid,92730,42,0.013279404678229493
6,65,relu,76401,122,3.40544115675699e-05
4,53,tanh,16615,20,0.026570368927850814
9,81,sigmoid,47346,94,0.0021790834427435676
8,23,tanh,97937,64,0.0004694057042066955
9,60,sin,65652,22,0.01084978593605525
9,21,sin,38549,160,0.07119722307348604
2,48,swish,29475,100,1.0913404024095113e-05
6,68,sigmoid,30037,194,0.0008262411161930334
6,97,tanh,7150,145,4.596672214785234e-05
8,66,sin,82718,159,9.767973293804015e-05
7,75,relu,93001,170,0.0016611563879910744
7,74,tanh,86804,65,0.00033801926569016426
5,49,swish,15383,113,0.025740502827020968
8,40,tanh,27861,98,0.00044725714447277126
6,77,sigmoid,25580,24,0.0029933967462308134
5,82,swish,36972,117,0.0002718068406463661
3,47,relu,50469,21,2.173018810170394e-05
5,9,relu,66900,170,0.012035407609475579
8,54,swish,66570,155,0.0012630044690710052
5,26,sin,97726,135,0.0005866244075826498
3,53,sigmoid,67412,78,4.676382455659752e-05
8,83,swish,66029,146,0.00026829879127371396
4,66,swish,7517,35,0.011856289467183043
7,80,sigmoid,47826,74,0.01828581039897908
6,72,swish,92270,174,0.00019709678439558224
5,59,relu,51284,191,2.1152666479836787e-05
4,16,tanh,52195,169,0.015859897349637973
4,79,sin,6425,105,0.018588733409185335
6,88,tanh,87105,12,1.2158161156266898e-05
6,69,sigmoid,12231,182,2.945103726156204e-05
4,87,sin,23570,79,1.4087304957571742e-05
9,30,swish,21329,80,0.02051642292695401
8,32,tanh,25763,156,0.04741482582618863
8,73,swish,78975,30,0.00047359243736640617
7,37,sin,37657,162,5.941229791799082e-05
2,21,sigmoid,54727,189,0.06639055733329924
4,12,sigmoid,39211,179,1.549556132772246e-05
3,43,relu,58868,71,0.0005391751809697865
9,36,sigmoid,29008,71,4.903901351757623e-05
4,75,sigmoid,50576,30,0.017064941609517943
4,37,sin,31566,98,0.000362208586138183
5,59,tanh,87561,172,1.749363097779901e-05
3,82,swish,89026,114,0.00360731510080295
6,18,sigmoid,90690,131,0.007061594923873468
5,62,tanh,77626,104,0.002763336093104333
6,10,sin,26505,194,0.00011586341009930668
4,43,sin,81306,196,0.0016436435259992899
3,39,sin,95699,78,0.0021725143869575467
9,79,relu,25158,176,0.0013558683640568915
9,55,relu,11287,44,1.4737613558940606e-05
8,27,swish,98384,41,6.32990826676468e-05
8,26,relu,44196,142,1.1339199550842213e-05
2,86,sigmoid,54079,136,0.0002129844735479774
10,81,sigmoid,6170,163,0.0036632397593171517
4,15,relu,31720,19,0.007264603051570458
9,87,tanh,28408,179,0.05757959429721974
6,36,sin,96020,100,2.2772242203164695e-05
7,61,tanh,43386,64,1.601536870070398e-05
8,9,swish,45108,68,0.0017845574766445999
5,100,relu,83980,178,3.6787483741088946e-05
7,99,relu,8761,58,0.0033598557128431726
5,17,sigmoid,73943,36,0.00024861103473568144
7,88,swish,82687,63,0.002934370478482992
9,13,sin,54284,192,1.0299838692681315e-05
5,51,tanh,54870,144,0.022759756297662116
3,96,sigmoid,32822,104,0.00031117923131339354
5,99,sin,90297,158,0.0006010084601782114
8,74,tanh,61967,55,0.0005844547539611013
5,78,tanh,20681,164,0.013034223974874028
7,28,tanh,41297,178,0.007658999028385043
2,28,swish,47915,25,8.40164215684165e-05
5,29,sigmoid,27264,36,0.0007925086387035345
10,69,relu,84161,127,0.0010856365743190024
9,82,relu,30414,17,7.558484184171147e-05
8,97,swish,69293,158,0.015797081297395172
7,61,sin,23922,139,0.00028091309102507424
5,7,relu,33410,122,0.02081597810044299
5,76,tanh,31749,195,0.08085610459513591
9,59,swish,15311,123,0.002284604004096884
10,79,sin,55813,157,3.6466095611876285e-05
8,64,sin,53273,135,0.0026676365110844713
8,39,sigmoid,40928,24,0.004379327174857
7,63,sigmoid,49141,149,1.338953151635096e-05
7,35,tanh,60690,165,2.9846329919180153e-05
6,15,tanh,44089,58,3.2221666758684847e-05
4,34,swish,35205,151,0.001463428314131657
3,61,sin,16966,143,0.007559643235624336
3,52,sin,85783,96,0.0018547777990801863
